DATE,Unemployment_Rate,Consumer_Spending,Inflation,GDP_Growth,Personal_Consumption_Expenditures,Federal_Funds_Rate,Nonfarm_Payroll,Industrial_Production_Index,Retail_Sales
2007-01-01,4.6,9538.7,203.437,1.2,11181.0,5.25,137472,99.7546,363616.0
2007-04-01,4.5,9643.6,205.904,2.5,11201.5,5.25,137845,101.5723,366187.0
2007-07-01,4.7,9751.1,207.603,2.3,11252.6,5.26,138044,101.4953,369614.0
2007-10-01,4.7,9882.7,209.19,2.5,11318.6,4.76,138177,101.6446,375289.0
2008-01-01,5.0,9996.4,212.174,-1.7,11333.2,3.94,138391,102.1493,375236.0
2008-04-01,5.0,10070.3,213.942,2.4,11340.5,2.28,138038,100.7554,372572.0
2008-07-01,5.8,10185.1,219.016,-2.1,11286.0,2.01,137498,99.4194,375038.0
2008-10-01,6.5,10034.1,216.995,-8.5,11192.5,0.97,136293,94.4985,352950.0
2009-01-01,7.8,9847.2,211.933,-4.5,11176.3,0.15,134078,88.3712,336929.0
2009-04-01,9.0,9772.5,212.709,-0.7,11068.0,0.15,131821,85.7903,331352.0
2009-07-01,9.5,9886.3,214.726,1.4,11118.1,0.16,130662,85.6853,340517.0
2009-10-01,10.0,9976.7,216.509,4.4,11127.1,0.12,130062,87.5809,341654.0
2010-01-01,9.8,10056.1,217.488,1.9,11156.8,0.11,129802,89.1897,345889.0
2010-04-01,9.9,10182.3,217.403,3.9,11275.1,0.2,130120,90.4607,357354.0
2010-07-01,9.4,10268.1,217.605,3.1,11361.7,0.18,130415,92.2549,354717.0
2010-10-01,9.4,10386.4,219.035,2.1,11428.9,0.19,130621,92.6033,363469.0
2011-01-01,9.1,10514.3,221.187,-0.9,11486.0,0.17,130837,93.3889,371841.0
2011-04-01,9.1,10652.1,224.093,2.7,11508.9,0.1,131597,93.6571,380335.0
2011-07-01,9.0,10731.6,225.395,-0.1,11542.3,0.07,131993,94.4958,382837.0
2011-10-01,8.8,10802.9,226.75,4.6,11575.1,0.07,132553,95.6891,389853.0
2012-01-01,8.3,10896.8,227.842,3.4,11605.5,0.08,133245,96.7595,395469.0
2012-04-01,8.2,11018.5,229.187,1.8,11671.4,0.14,133825,97.251,399972.0
2012-07-01,8.2,11016.8,228.59,0.6,11684.4,0.16,134157,97.6714,397407.0
2012-10-01,7.8,11137.4,231.638,0.5,11702.3,0.16,134668,97.5311,405437.0
2013-01-01,8.0,11252.4,231.679,4.0,11810.6,0.14,135257,98.1736,412115.0
2013-04-01,7.6,11281.1,231.797,1.1,11826.4,0.15,135873,98.9445,411770.0
